Symbol,Date,High,Low,Open,Close,Volume
UNI,2020-10-18,3.27679891,2.98276067,2.99508022,3.26685888,270238696.62769705
UNI,2020-10-19,3.28186631,3.12873845,3.27467548,3.17766422,353126948.0164669
UNI,2020-10-20,3.18129683,2.82147395,3.17358289,2.86980023,542347476.0741956
UNI,2020-10-21,3.06571378,2.85083113,2.86189747,2.94137384,641102099.6216476
UNI,2020-10-22,3.13980626,2.93028557,2.94084829,3.03945049,490414766.6593528
UNI,2020-10-23,3.12028148,2.9744434,3.04407276,3.01219005,340365373.12678003
UNI,2020-10-24,3.08329223,2.93770967,3.01219006,2.943257,228726426.04521856
UNI,2020-10-25,2.96679659,2.7299389,2.943257,2.77574688,280177012.5004011
UNI,2020-10-26,2.86815301,2.5507011,2.77574703,2.72590258,402513710.1500299
UNI,2020-10-27,2.90054865,2.71078781,2.72590256,2.82239855,374717068.8986912
UNI,2020-10-28,2.85034013,2.59936174,2.82239888,2.67611603,382606651.5706099
UNI,2020-10-29,2.73456913,2.49409014,2.67611619,2.54161629,452924613.8820874
UNI,2020-10-30,2.55472877,2.26524486,2.54161714,2.41416755,407724693.280509
UNI,2020-10-31,2.41416755,2.25159656,2.41416755,2.26642787,195366722.87350935
UNI,2020-11-01,2.43362193,2.22745794,2.26642788,2.37930546,189355187.03208768
UNI,2020-11-02,2.44083514,2.24325691,2.37930535,2.25425989,267321819.1266569
UNI,2020-11-03,2.28102325,2.06594231,2.25425961,2.13431874,249641515.28974253
UNI,2020-11-04,2.16038741,1.8889727,2.13432465,1.93011859,339588343.30015147
UNI,2020-11-05,2.40161741,1.76381655,1.93012344,2.20612935,513013237.58820254
UNI,2020-11-06,2.6778813,2.18203083,2.20611582,2.5507954,584436650.2169098
UNI,2020-11-07,2.99585781,2.44812623,2.5507954,2.46649654,771051234.7782099
UNI,2020-11-08,2.88537031,2.44255685,2.46649654,2.84861707,478996896.8201713
UNI,2020-11-09,2.85200563,2.58628614,2.84861689,2.67686302,486394677.98332816
UNI,2020-11-10,3.10329501,2.64013281,2.6768644,3.00754392,514331153.50193655
UNI,2020-11-11,3.14989615,2.87706502,3.00754399,2.91237512,525551142.7375388
UNI,2020-11-12,3.08158068,2.82726603,2.9123745,2.93014159,538966370.025485
UNI,2020-11-13,3.96135021,2.90612094,2.93014204,3.8796593,765960346.8892331
UNI,2020-11-14,3.95374568,3.5347313,3.87965931,3.80910701,774643439.7326491
UNI,2020-11-15,4.23602319,3.63484903,3.809107,3.86200742,742520517.9509934
UNI,2020-11-16,3.93290678,3.45923842,3.86200742,3.6040116,739416980.0883697
UNI,2020-11-17,3.84843573,3.48538747,3.7592612,3.80348089,753340390.0306114
UNI,2020-11-18,3.84740553,3.28832495,3.80345424,3.46366504,855595851.8627282
UNI,2020-11-19,3.88487541,3.24750812,3.46368006,3.7330601,690972294.1208539
UNI,2020-11-20,4.083962,3.68421478,3.73306035,3.84091406,1046467101.110601
UNI,2020-11-21,3.92577012,3.60059507,3.84091408,3.81223005,972140640.0954676
UNI,2020-11-22,3.920586,3.44760963,3.81223004,3.65905312,1008603252.535265
UNI,2020-11-23,4.20403492,3.63718074,3.6590533,4.18887791,1351039953.9592154
UNI,2020-11-24,4.47937112,3.95724615,4.18934869,4.06707338,1346899109.0997114
UNI,2020-11-25,4.2001122,3.57910843,4.06528421,3.68375432,933020040.3073512
UNI,2020-11-26,3.76552699,3.11653759,3.68201694,3.43149857,1516484179.141803
UNI,2020-11-27,3.5188661,3.17294199,3.43383644,3.31672524,665287433.3981802
UNI,2020-11-28,3.53101638,3.26637116,3.3169469,3.46967137,508403729.8190797
UNI,2020-11-29,3.56922307,3.37474809,3.4702646,3.55205527,483895367.8046792
UNI,2020-11-30,3.80433301,3.5373901,3.55194377,3.76907441,824763849.8837101
UNI,2020-12-01,3.97591071,3.47676087,3.77261173,3.55541263,1042619600.66442
UNI,2020-12-02,4.16847302,3.51347614,3.55505791,3.93694029,729926103.8056227
UNI,2020-12-03,4.0197147,3.80858813,3.94006984,3.89198201,587622998.9209594
UNI,2020-12-04,3.91618491,3.50719947,3.89226813,3.52813216,595341444.3401191
UNI,2020-12-05,3.69654678,3.45703087,3.5281354,3.68167397,420480160.7165052
UNI,2020-12-06,3.7772646,3.51212876,3.68186976,3.6531076,423227915.4288991
UNI,2020-12-07,3.87173173,3.57089075,3.65302741,3.7645407,411938301.78209966
UNI,2020-12-08,3.76422563,3.28255637,3.76422563,3.28498568,546521147.0922648
UNI,2020-12-09,3.39082298,3.13234338,3.28540642,3.35541723,516081302.9396126
UNI,2020-12-10,3.36777105,3.19163124,3.35583216,3.24360991,365002773.88767374
UNI,2020-12-11,3.24386486,2.92648179,3.24386486,2.97210942,506458332.3246698
UNI,2020-12-12,3.17407792,2.96592549,2.97014964,3.12253386,299773732.062206
UNI,2020-12-13,3.36219136,3.07402739,3.12293658,3.33782159,363657249.13062185
UNI,2020-12-14,3.52055261,3.24720954,3.33855897,3.48526339,364601423.6963119
UNI,2020-12-15,3.51630274,3.31963556,3.48430196,3.33150942,331368558.7711276
UNI,2020-12-16,3.53317972,3.25121168,3.33117989,3.52855053,569026020.9135668
UNI,2020-12-17,3.99304644,3.44575041,3.52872526,3.69151096,1276882131.0746474
UNI,2020-12-18,3.84243785,3.55541072,3.69271777,3.76731462,764765771.570831
UNI,2020-12-19,4.23610709,3.71021271,3.76547571,3.96389255,860199471.3148907
UNI,2020-12-20,4.01578153,3.72819011,3.96359917,3.76568859,701901570.6103531
UNI,2020-12-21,3.9184022,3.44885525,3.76621274,3.52324575,757127157.7472237
UNI,2020-12-22,3.77340982,3.29904714,3.52019541,3.73061416,734453822.739407
UNI,2020-12-23,3.76971416,3.02677571,3.72935372,3.31396994,838383816.39631
UNI,2020-12-24,3.52143239,3.16793277,3.31553774,3.52143239,673684478.0806745
UNI,2020-12-25,3.63597354,3.38354015,3.52148253,3.50369878,597006834.1877309
UNI,2020-12-26,3.59978136,3.36239433,3.50356115,3.40696394,531596588.269242
UNI,2020-12-27,3.77099117,3.37605437,3.40689161,3.59463998,966315809.8824518
UNI,2020-12-28,3.91333214,3.57897239,3.59486928,3.72836028,859661085.0793926
UNI,2020-12-29,3.82327011,3.50297985,3.72754665,3.6708054,686584801.0579278
UNI,2020-12-30,4.3354187,3.63935282,3.67033092,4.14055831,763321282.1083853
UNI,2020-12-31,5.28374091,3.95631792,4.13722104,5.16833732,1385543382.9382567
UNI,2021-01-01,5.26797261,4.6420704,5.16686113,4.7362491,840105754.2883397
UNI,2021-01-02,5.16960538,4.49131952,4.73460276,4.84521386,1418519092.071442
UNI,2021-01-03,5.61278194,4.67213651,4.84665447,5.44703128,2184123152.7238984
UNI,2021-01-04,6.1691837,4.93133864,5.4738224,5.40656561,3707353730.999563
UNI,2021-01-05,6.55218252,5.25441881,5.41907769,6.27929137,2956879540.917024
UNI,2021-01-06,6.58984226,6.05464387,6.28392267,6.40937474,2462933929.988384
UNI,2021-01-07,6.7715262,6.12133429,6.41078445,6.26771472,2482937538.8128085
UNI,2021-01-08,6.34864545,5.51218475,6.26641152,5.88761164,3002482252.19602
UNI,2021-01-09,6.34860197,5.68918323,5.88872958,6.25130035,1895112492.7417383
UNI,2021-01-10,6.58353414,5.60845343,6.24964644,5.99116286,2348003198.192147
UNI,2021-01-11,5.99230397,4.46727256,5.99230397,5.25150553,4720287191.811483
UNI,2021-01-12,5.79856405,4.98210038,5.24494275,5.5453677,2485771003.28989
UNI,2021-01-13,6.3739735,5.284134,5.54474304,6.32484939,1668136048.584636
UNI,2021-01-14,7.10648598,6.1961477,6.32599813,6.87152013,2149188357.943913
UNI,2021-01-15,7.46550778,6.46227056,6.89801435,7.36007632,2902758852.3053856
UNI,2021-01-16,9.21820707,7.24047848,7.35814703,8.41865743,2964752878.9521303
UNI,2021-01-17,9.15650097,8.10349858,8.43025955,8.6620615,2577838948.8778734
UNI,2021-01-18,9.83761936,8.36015446,8.66549815,9.21562851,2128019522.8222804
UNI,2021-01-19,9.63108065,8.51330361,9.20758328,8.64135045,4178260771.394405
UNI,2021-01-20,9.01918637,7.68351065,8.62317946,8.9825195,4173020645.8018193
UNI,2021-01-21,9.01300006,7.41148766,8.98602562,7.60239984,3679537997.8204985
UNI,2021-01-22,9.01252584,7.11654879,7.59045865,8.71697842,3361566673.176761
UNI,2021-01-23,9.5074773,8.54747405,8.7058424,9.30468023,1955096498.1786292
UNI,2021-01-24,12.24096684,9.19489925,9.30942347,12.04650866,3944520029.27856
UNI,2021-01-25,12.88794244,10.92244838,12.02785784,11.35221143,4870764024.034347
UNI,2021-01-26,14.19339558,11.26380845,11.33946913,13.84000205,5870212558.778764
UNI,2021-01-27,15.49822314,13.13569968,13.86012737,14.83348352,6372857509.22218
UNI,2021-01-28,15.37895901,13.68282758,14.82508213,14.20477366,2104591928.88
UNI,2021-01-29,15.71157817,14.12673264,14.1936491,15.71157817,1854912080.64
UNI,2021-01-30,19.5511634,15.11357925,15.6774543,19.46233967,2232275171.97
UNI,2021-01-31,20.38612805,17.52891192,19.48667067,17.6662939,2248905215.6
UNI,2021-02-01,20.69341277,16.72660728,17.69935544,20.4156725,2217716965.97
UNI,2021-02-02,20.49296018,18.13624322,20.43139129,19.08366191,1674573149.33
UNI,2021-02-03,20.46472097,18.76548447,19.06243301,19.7659071,1414097283.49
UNI,2021-02-04,21.51125665,19.52862764,19.77550008,20.14545504,1355026915.29
